,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26,2026-27,2027-28
Historical,10.4,12.1,12.8,12.9,14.9,14.8,14.4,13.6,12.5,13.4,17.1,21.1,26.6,28.3,30.1,31.2,30.5,29.4,32.1,29.3,28.2,26.8,27.5,26.8,27.8,27.1,26.6,27.8,32.3,34.5,36.6,38.2,39.7,40.5,40.3,39.7,39.2,39.3,39.5,43,40,38.3,0,0,0,0,0
FAO Winter 2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 38.3 , 38.0 , 38.7 , 38.4 , 37.8 , 37.0 
